Player,College,Draft_yr,fnl_coll_rpi,Success,Age_first_yr,Draft_pick,Hght_noshoes,Hght_wtshoes,Wingspan,Standing_reach,Vert_max,Vert_maxreach,Vert_nostep,Vert_nostep_reach,Weight,Body_fat,Hand_length,Hand_width,clg_gms_plyed,pts_ppg,trb,ast,fg2_pct,fg3_pct,ft_pct,Guards,Forwards,Centers,Drafted,nba_gms_plyed
Kemba Walker,Connecticut,2011,6,1,21,9,71.5,73,75.5,91.5,39.5,131,32,123.5,184,5.9,8,9,111,16.1,4.4,4.1,42.8,32.6,78.3,1,0,0,1,523
Jimmer Fredette,BYU,2011,8,1,22,10,72.75,74.5,76.5,96.5,33,129.5,28,124.5,196,7.7,8,8.5,139,18.7,2.6,3.7,45.5,39.4,88.2,1,0,0,1,235
Klay Thompson,Washington State,2011,70,1,21,11,77.75,79.25,81,103.5,31.5,135,26.5,130,206,8,8.75,9.25,98,17.9,4.8,2.6,42.4,39,82.7,1,0,0,1,537
Alec Burks,Colorado,2011,64,1,20,12,77,78,82,103.5,36,139.5,29,132.5,193,5.1,9,8.25,68,19,5.8,2.4,49.5,31.3,80.4,1,0,0,1,365
Kawhi Leonard,San Diego State,2011,3,1,20,15,78,79,87,106,32,138,25.5,131.5,227,5.4,9.75,11.25,70,14.1,10.2,2.2,44.9,25,74.4,0,1,0,1,407
Nikola Vucevic,USC,2011,73,1,19,16,82.25,83.75,88.5,112.5,25,137.5,23.5,136,260,6.1,9.25,10.25,87,11.1,8,1.1,50.9,30.3,74.6,0,0,1,1,457
Iman Shumpert,Georgia Tech,2011,166,1,21,17,76.25,77.5,81.5,99.5,42,141.5,36.5,136,222,6.5,9,9,92,12.7,4.5,4.2,39.6,30.5,73.8,1,0,0,1,384
Chris Singleton,Duke,2011,4,0,22,18,79.75,81,85,103.5,37.5,141,30.5,134,230,7.4,9.25,10,95,10.3,6.2,1.5,41.9,33,59.2,0,1,0,1,148
Tobias Harris,Tennessee,2011,41,1,21,19,78.5,79.75,83,103.5,37.5,141,31.5,135,223,8.4,8.75,9,34,15.3,7.3,1.3,46,30.3,75.3,0,1,0,1,464
Nolan Smith,Duke,2011,4,0,22,21,73.5,75.5,77.5,99,34,133,28.5,127.5,188,5.6,8.5,9.25,143,13.4,2.8,2.8,44.8,36.8,80,1,0,0,1,84
Kenneth Faried,Morehead State,2011,76,1,22,22,78,79.5,84,108,35,143,30.5,138.5,225,6.3,8.5,10.25,136,14.8,12.3,0.9,56.9,25,58.3,0,1,0,1,441
Marshon Brooks,Providence,2011,157,0,23,25,76.25,77.25,85,101,38.5,139.5,34,135,195,5.2,9,10.5,113,14.4,4.3,1.5,46.4,33.3,73.9,1,0,0,1,171
Jordan Hamilton,Texas,2011,11,0,21,26,78.75,80.5,81.5,104,32,136,25,129,228,9.8,9,9.25,70,14.5,5.7,1.8,43,37.7,71,0,1,0,1,151
